Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2010-01-01,18754,18478,18177,18002,17897,18042,18441,18870,19061,19190,19668,20041,20242,20283,20526,21236,21971,22049,21736,21276,20732,20043,19427,18721
2010-02-01,19858,19444,19388,19385,19644,20553,22586,24388,24521,24500,24645,24460,24191,24018,23942,24058,24339,25046,24688,24232,23424,22464,21290,20155
2010-03-01,16493,16299,16229,16295,16572,17455,19414,20933,21522,21663,21881,21863,21725,21640,21543,21580,21414,22005,22340,22048,21510,20544,19442,18436
2010-04-01,15428,15112,15019,15010,15130,15784,17367,18853,19511,19529,19509,19255,18845,18439,18052,17770,17532,17497,17333,17530,17871,17315,16483,15599
2010-05-01,12226,11955,11786,11719,11688,11458,11666,12166,12815,13465,13785,13957,13957,13818,13702,13686,13777,13852,13859,13762,13705,13876,13623,13137
2010-06-01,12804,12020,12365,12315,12215,12582,13506,15045,15550,15540,15837,15780,15707,15535,15448,15333,15034,14904,14559,14346,14132,13820,13613,12817
2010-07-01,11272,11056,10925,10740,11050,12509,14002,14756,15208,15603,15653,15638,15527,15479,15277,14863,14590,14151,13888,13554,13225,13027,12577,11800
2010-08-01,10372,10050,9829,9734,9486,9246,9324,9685,10259,10917,11376,11770,11859,11703,11606,11563,11642,11691,11720,11689,11598,11616,11631,10909
2010-09-01,11784,11587,11473,11556,11645,12251,13813,15428,15666,15629,15733,15821,15754,15650,15463,15423,15063,14960,14788,14753,15145,14728,13679,12657
2010-10-01,13810,13596,13502,13475,13738,14421,16470,18214,18686,18523,18441,18076,17562,17123,16826,16572,16228,16472,16789,17162,16496,15540,14792,14073
2010-11-01,13019,12920,12861,12916,13314,14152,16042,17605,17992,17961,18182,18160,18084,17885,17864,18050,18426,19139,18902,18503,17873,16854,15865,14753
2010-12-01,20864,20671,20566,20567,20997,21927,24042,25951,26104,26069,25870,25381,25104,24949,25076,25785,26267,26296,25997,25559,25019,24145,22874,21704
2011-01-01,18019,17565,17148,16765,16527,16437,16476,16719,16993,17182,17363,17761,18202,18305,18398,18652,19310,20261,20478,20355,20114,19665,19151,18462
2011-02-01,17413,16736,16387,16243,16339,16564,17280,19216,21282,21388,21253,21429,21348,21230,21242,21179,21261,21411,21870,21404,20944,20255,19393,18253
2011-03-01,18875,18250,17957,17870,17937,18169,19079,21068,22436,22862,22679,22672,22503,22350,22167,22053,22179,22015,22693,23021,22662,21926,20981,19826
2011-04-01,15180,15100,15104,15337,16064,17810,19362,19914,20085,20220,20015,19641,19261,18775,18448,18095,18050,17880,17827,17777,16934,16207,15377,14763
2011-05-01,12412,12365,12329,12356,12137,12216,12459,12958,13410,13747,13953,13950,13931,13822,13682,13675,13943,14047,14238,14398,14799,14362,13635,13241
2011-06-01,12068,12249,11871,11721,11653,11454,11884,13505,15317,16065,16163,16386,16319,16056,15817,15634,15509,15143,15077,14648,14401,14184,13981,13790
2011-07-01,12561,11808,11425,11189,11071,10904,11254,12638,14190,14995,15382,15644,15695,15583,15349,14990,14619,14221,14105,13714,13259,12845,12554,12366
2011-08-01,11225,10668,10359,10232,10207,10033,10120,11105,12287,13292,13874,14238,14224,14154,14213,14080,13928,13707,13609,13365,13129,12820,12661,12501
2011-09-01,12847,12209,11875,11755,11794,11823,12374,13895,15523,16078,15949,16077,16017,15912,15884,15766,15655,15294,15268,15049,15022,15372,15033,13975
2011-10-01,11963,11691,11481,11423,11487,11607,12073,12319,13074,13673,13893,13942,13866,13635,13411,13362,13311,13497,13906,14570,14165,13606,13042,12480
2011-11-01,13141,12836,12695,12610,12786,13529,15261,16591,17005,17192,17312,17338,17223,17089,17076,17171,17689,18248,17800,17326,16727,15922,14840,13850
2011-12-01,14814,14355,14206,14260,14380,15183,17375,19242,19585,19281,19351,19412,19405,19469,19752,20098,20176,20129,19762,19272,18607,17706,16640,15504
2012-01-01,16456,16206,15868,15607,15570,15570,15764,15932,16122,16281,16636,17018,17202,17196,17276,17726,18134,18277,18230,17757,17106,16459,15711,14965
2012-02-01,19330,19111,19023,19155,19383,20334,22497,24180,24169,23990,23861,23730,23551,23336,23296,23577,23856,24596,24287,24011,23455,22667,21739,20726
2012-03-01,15376,15040,14884,14848,15085,15819,17817,19256,19650,19638,19592,19529,19267,19029,18790,18707,18464,19152,19898,19593,18896,17967,16901,15794
2012-04-01,15630,15334,15243,15198,15320,15479,15511,15674,15966,16301,16355,16428,16294,16304,16300,16334,16485,16728,16921,17489,18004,17540,16689,16049
2012-05-01,12593,12481,12307,12329,12273,12245,12429,12738,13261,13779,14068,14090,13947,13794,13600,13486,13487,13607,13650,13712,13947,14485,14055,13397
2012-06-01,12755,12189,11978,11903,11768,12312,14195,15828,16385,16577,16585,16456,16375,16190,15856,15664,15494,15444,15138,14739,14304,13868,13799,13317
2012-07-01,11167,10853,10701,10336,10001,9967,10196,10757,11471,12109,12580,12939,12922,12797,12621,12631,12674,12794,12899,12821,12717,12414,12320,12049
2012-08-01,10909,10626,10413,10314,10193,10295,11265,12426,13255,13679,13953,14016,14050,13976,13840,13610,13420,13341,13109,12781,12528,12465,12215,11525
2012-09-01,11285,11107,10898,10802,10757,10961,11054,11693,12578,13200,13513,13606,13469,13359,13205,13009,13054,13175,13023,12968,13289,13032,12372,11824
2012-10-01,12208,12180,12088,12166,12328,13125,15108,16843,17217,17341,17526,17567,17341,17335,17199,17139,16923,17056,17250,17391,16773,15829,14520,13356
2012-11-01,14349,14067,13902,14010,14229,14957,16696,17950,18381,18516,18725,18702,18652,18578,18591,18842,19312,19619,19234,18737,18112,17065,15910,14913
2012-12-01,17407,16950,16707,16699,16777,17107,17733,18625,19313,20001,20414,20531,20455,20426,20504,21204,21825,21978,21613,21119,20583,19945,19320,18587
2013-01-01,14838,14610,14343,14117,13959,14228,14577,14919,15186,15318,15800,16183,16441,16509,16827,17518,18115,18336,18197,17848,17310,16706,16087,15409
2013-02-01,16949,16688,16688,16764,17068,17966,20046,22199,22453,22528,22327,21912,21547,21119,20845,20916,21453,22154,21704,21045,20242,19483,18667,17978
2013-03-01,16528,16347,16361,16463,16793,17708,19585,20986,21231,21014,20792,20458,20173,19807,19395,19147,19153,19875,20667,20169,19495,18793,18081,17351
2013-04-01,16021,15910,15953,16143,16441,16804,17113,17347,17376,17480,17399,17187,16831,16477,16245,16134,16088,16188,16348,16996,17772,17502,17009,16507
2013-05-01,13922,13675,13441,13494,13542,13416,13599,13839,14252,14751,14902,14879,14718,14460,14222,14061,14084,14273,14289,14293,14526,14971,14554,13904
2013-06-01,10956,10565,10351,10126,9870,9943,10283,10940,11866,12564,12894,13058,12908,12687,12481,12522,12569,12701,12557,12277,11844,11539,11503,11236
2013-07-01,11412,11154,10842,10622,10528,11023,12266,13859,14705,15099,15216,15256,15224,15125,14878,14822,14420,14373,14191,13921,13576,13240,12907,12191
2013-08-01,10237,9936,9734,9663,9490,9559,10402,11622,12466,13022,13382,13527,13491,13350,13197,13024,12849,12859,12630,12316,12004,11934,11708,10818
2013-09-01,11181,10873,10669,10631,10603,10591,10562,11055,11758,12359,12746,12995,13030,12941,12838,12793,12776,12939,13014,13262,13698,13173,12333,11611
2013-10-01,13427,13229,13145,13222,13348,14302,16361,17880,18154,17882,17679,17527,17391,17185,17051,16951,16617,17016,17238,17880,17610,16837,15519,14529
2013-11-01,13582,13284,13184,13151,13445,14158,15681,16878,17469,17570,17633,17541,17311,17080,16859,16973,17578,18045,17547,16931,16182,15534,14841,14095
2013-12-01,15397,14966,14753,14580,14550,14622,14872,15291,15629,16237,16699,17026,17008,16934,17023,17752,18503,18702,18674,18567,18141,17622,16824,16043
2014-01-01,14838,14564,14226,14027,13950,14160,14529,14926,15157,15336,15795,16236,16478,16662,17007,17671,18208,18359,17944,17512,16894,16270,15598,14979
2014-02-01,17741,17282,17129,17063,17085,17294,17683,18249,18817,19416,19887,19982,19911,19710,19592,19648,20314,20837,20448,19882,19111,18413,17776,17132
2014-03-01,14968,14627,14456,14459,14556,14780,15271,15709,16591,17375,17729,17961,17885,17712,17539,17551,17865,18561,18806,18283,17615,16908,16293,15706
2014-04-01,14925,14651,14598,14713,15031,15971,17683,18966,19230,18942,18781,18513,18255,18012,17723,17616,17349,17453,17362,17801,18452,17931,16896,15839
2014-05-01,12895,12460,12330,12335,12349,12324,12720,13290,13841,14291,14621,14735,14577,14320,14046,13873,13905,13960,13931,13992,14120,14595,14241,13662
2014-06-01,11360,11085,10984,10791,10466,10440,10477,10856,11529,12169,12635,12803,12814,12792,12748,12614,12619,12729,12848,12872,12797,12572,12465,12040
2014-07-01,11679,11347,11171,10943,10812,11203,12584,14107,14897,15135,15471,15453,15305,15267,15049,14909,14461,14323,14195,13973,13542,13142,12894,12324
2014-08-01,10387,10072,9894,9814,9676,9788,10683,11816,12733,13119,13348,13482,13367,13246,13023,12861,12681,12654,12377,12045,11731,11660,11415,10876
2014-09-01,11330,11102,11052,11106,11304,11912,13424,15033,15570,15660,15893,15852,15710,15563,15377,15209,15037,15067,14685,14756,15162,14590,13368,12361
2014-10-01,13044,12768,12692,12900,13132,13914,15987,17487,17751,17459,17316,17024,16699,16430,16294,16294,16103,16227,16549,16807,16223,15422,14217,13229
2014-11-01,13805,13504,13328,13180,13185,13349,13807,14160,14749,15395,15754,15858,15794,15707,15677,15782,16408,16683,16259,15668,15051,14455,13854,13270
2014-12-01,16119,15840,15847,15929,16202,17087,19072,21128,21473,21378,21490,21470,21370,21334,21515,21997,22131,22167,21559,20983,20152,19163,17936,16768
2015-01-01,15084,14845,14554,14267,14224,14370,14780,15098,15231,15453,15856,16179,16435,16582,16816,17281,17587,17613,17368,17012,16523,15965,15344,14707
2015-02-01,15922,15618,15484,15426,15488,15711,16116,16630,17120,17794,18324,18658,18814,18779,18836,18985,19705,20443,20434,20144,19598,18893,18000,17144
2015-03-01,15608,15329,15221,15195,15217,15364,15746,16070,16669,17349,17754,18046,18157,18159,17886,17846,18223,18897,19281,18978,18343,17476,16600,15733
2015-04-01,15377,15115,14921,14978,15182,15880,17580,19072,19400,19111,18935,18614,18247,17955,17658,17563,17317,17454,17588,18002,18460,17852,16978,16037
2015-05-01,13186,12896,12755,12644,12602,12485,12759,13262,13845,14336,14613,14715,14692,14595,14415,14291,14288,14457,14410,14216,14165,14275,13789,13230
2015-06-01,12171,11923,11885,11841,11843,12375,14186,15854,16465,16591,16596,16569,16430,16092,15982,15850,15505,15332,15058,14965,14696,14498,14215,13431
2015-07-01,11802,11380,11162,11012,10841,11237,12620,14103,14830,15129,15331,15288,15049,14899,14796,14724,14511,14274,13858,13485,13196,12767,12433,11992
2015-08-01,10852,10501,10333,10258,10171,10042,10231,10621,11235,11942,12314,12351,12281,12148,11918,11860,11897,11991,11962,11846,11730,11814,11812,11328
2015-09-01,11552,11276,11258,11256,11340,11793,13376,14994,15550,15664,15805,15834,15817,15722,15717,15691,15512,15459,15163,15114,15172,14495,13401,12360
2015-10-01,12067,11767,11715,11804,11962,12643,14395,15742,16140,16133,16132,16014,15854,15745,15650,15472,15259,15448,15726,15950,15377,14532,13456,12614
2015-11-01,12972,12645,12447,12370,12406,12555,12972,13332,13923,14515,14943,15174,15199,15226,15208,15395,16304,16753,16564,16288,15778,14965,14078,13288
2015-12-01,15932,15654,15521,15606,15904,16813,18835,20623,20708,20523,20411,20289,20048,19920,20116,20794,21290,21493,21138,20664,20086,19157,18065,16894
